-10.0,335.992
-15.0,333.094
-20.0,329.219
-25.0,323.990
-12000,323.990
2012-12-15,00:00:00,7,2
-0.0,359.799
-5.0,359.118
-10.0,356.377
-15.0,352.120
-20.0,348.386
-25.0,343.026
-12000,343.026
2013-01-15,00:00:00,7,2
-0.0,387.593
-5.0,385.672
-10.0,382.860
-15.0,379.739
-20.0,377.513
-25.0,374.466
-12000,374.466
2013-02-15,00:00:00,7,2
-0.0,401.374
-5.0,399.778
-10.0,397.428
-15.0,394.146
-20.0,391.457
-25.0,388.414
-12000,388.414
2013-03-15,00:00:00,7,2
-0.0,414.217
-5.0,412.642
-10.0,409.080
-15.0,402.809
-20.0,399.198
-25.0,395.798
-12000,395.798
2013-04-15,00:00:00,7,2
-0.0,415.374
-5.0,413.287
-10.0,408.488
-15.0,406.359
-20.0,401.459
-25.0,396.268
-12000,396.268
2013-05-15,00:00:00,7,2
-0.0,388.990
-5.0,387.234
-10.0,383.974
-15.0,389.012
-20.0,384.027
-25.0,380.137
-12000,380.137
2013-06-15,00:00:00,7,2
-0.0,338.446
-5.0,337.891
-10.0,336.247
-15.0,345.991
-20.0,343.997
-25.0,338.719
-12000,338.719
2013-07-15,00:00:00,7,2
-0.0,312.842
-5.0,308.897
-10.0,304.001
-15.0,308.715
-20.0,306.276
-25.0,308.033
-12000,308.033
2013-08-15,00:00:00,7,2
-0.0,295.444
-5.0,289.326
-10.0,282.608
-15.0,287.165
-20.0,280.731
-25.0,283.333
-12000,283.333
2013-09-15,00:00:00,7,2
-0.0,301.173
-5.0,298.229
-10.0,294.604
-15.0,292.506
-20.0,286.276
-25.0,278.254
-12000,278.254
2013-10-15,00:00:00,7,2
-0.0,320.027
-5.0,318.454
-10.0,315.312
-15.0,312.715
-20.0,307.221
-25.0,300.047
-12000,300.047
2013-11-15,00:00:00,7,2
-0.0,340.225
-5.0,338.542
-10.0,335.992
-15.0,333.094
-20.0,329.219
-25.0,323.990
-12000,323.990
2013-12-15,00:00:00,7,2
-0.0,359.799
-5.0,359.118
-10.0,356.377
-15.0,352.120
-20.0,348.386
-25.0,343.026
-12000,343.026
2014-01-15,00:00:00,7,2
-0.0,387.593
-5.0,385.672
-10.0,382.860
-15.0,379.739
-20.0,377.513
-25.0,374.466
-12000,374.466
2014-02-15,00:00:00,7,2
-0.0,401.374
-5.0,399.778
-10.0,397.428
-15.0,394.146
-20.0,391.457
-25.0,388.414
-12000,388.414
2014-03-15,00:00:00,7,2
-0.0,414.217
-5.0,412.642
-10.0,409.080
-15.0,402.809
-20.0,399.198
-25.0,395.798
-12000,395.798
2014-04-15,00:00:00,7,2
-0.0,415.374
-5.0,413.287
-10.0,408.488
-15.0,406.359
-20.0,401.459
-25.0,396.268
-12000,396.268
2014-05-15,00:00:00,7,2
-0.0,388.990
-5.0,387.234
-10.0,383.974
-15.0,389.012
-20.0,384.027
-25.0,380.137
-12000,380.137
2014-06-15,00:00:00,7,2
-0.0,338.446
-5.0,337.891
-10.0,336.247
-15.0,345.991
-20.0,343.997
-25.0,338.719
-12000,338.719
2014-07-15,00:00:00,7,2
-0.0,312.842
-5.0,308.897
-10.0,304.001
-15.0,308.715
-20.0,306.276
-25.0,308.033
-12000,308.033
2014-08-15,00:00:00,7,2
-0.0,295.444
-5.0,289.326
-10.0,282.608
-15.0,287.165
-20.0,280.731
-25.0,283.333
-12000,283.333
2014-09-15,00:00:00,7,2
-0.0,301.173
-5.0,298.229
-10.0,294.604
-15.0,292.506
-20.0,286.276
-25.0,278.254
-12000,278.254
2014-10-15,00:00:00,7,2
-0.0,320.027
-5.0,318.454
-10.0,315.312
-15.0,312.715
-20.0,307.221
-25.0,300.047
-12000,300.047
2014-11-15,00:00:00,7,2
-0.0,340.225
-5.0,338.542
-10.0,335.992
-15.0,333.094
-20.0,329.219
-25.0,323.990
-12000,323.990
2014-12-15,00:00:00,7,2
-0.0,359.799
-5.0,359.118
-10.0,356.377
-15.0,352.120
-20.0,348.386
-25.0,343.026
-12000,343.026
2015-01-15,00:00:00,7,2
-0.0,387.593
-5.0,385.672
-10.0,382.860
-15.0,379.739
-20.0,377.513
-25.0,374.466
-12000,374.466
2015-02-15,00:00:00,7,2
-0.0,401.374
-5.0,399.778
-10.0,397.428
-15.0,394.146
-20.0,391.457
-25.0,388.414
-12000,388.414
2015-03-15,00:00:00,7,2
-0.0,414.217
-5.0,412.642
-10.0,409.080
-15.0,402.809
-20.0,399.198
-25.0,395.798
-12000,395.798
2015-04-15,00:00:00,7,2
-0.0,415.374
-5.0,413.287
-10.0,408.488
-15.0,406.359
-20.0,401.459
-25.0,396.268
-12000,396.268
2015-05-15,00:00:00,7,2
-0.0,388.990
-5.0,387.234
-10.0,383.974
-15.0,389.012
-20.0,384.027
-25.0,380.137
-12000,380.137
2015-06-15,00:00:00,7,2
-0.0,338.446
-5.0,337.891
-10.0,336.247
-15.0,345.991
-20.0,343.997
-25.0,338.719
-12000,338.719
2015-07-15,00:00:00,7,2
-0.0,312.842
-5.0,308.897
-10.0,304.001
-15.0,308.715
-20.0,306.276
-25.0,308.033
-12000,308.033
2015-08-15,00:00:00,7,2
-0.0,295.444
-5.0,289.326
-10.0,282.608
-15.0,287.165
-20.0,280.731
-25.0,283.333
-12000,283.333
2015-09-15,00:00:00,7,2
-0.0,301.173
-5.0,298.229
-10.0,294.604
-15.0,292.506
-20.0,286.276
-25.0,278.254
-12000,278.254
2015-10-15,00:00:00,7,2
-0.0,320.027
-5.0,318.454
-10.0,315.312
-15.0,312.715
-20.0,307.221
-25.0,300.047
-12000,300.047
2015-11-15,00:00:00,7,2
-0.0,340.225
-5.0,338.542
-10.0,335.992
-15.0,333.094
-20.0,329.219
-25.0,323.990
-12000,323.990
2015-12-15,00:00:00,7,2
-0.0,359.799
-5.0,359.118
-10.0,356.377
-15.0,352.120
-20.0,348.386
-25.0,343.026
-12000,343.026
2016-01-15,00:00:00,7,2
-0.0,387.593
-5.0,385.672
-10.0,382.860
